Sl No,Company Name,Terms & Conditions
1,Baidu AI,https://intl.cloud.baidu.com/doc/Agreements/index.html
2,Discord,https://discord.com/terms
3,Telegram,https://telegram.org/tos?setln=en
4,Zoom,https://explore.zoom.us/en/terms/
5,Line,http://terms.line.me/line_terms?lang=en
6,Viber,https://www.viber.com/en/terms/viber-terms-use/
7,Lety Shops,https://letyshops.com/ie/agreement#content
8,PayPal,https://www.paypal.com/pl/webapps/mpp/ua/useragreement-full?locale.x=en_PL
9,Doordash,https://help.doordash.com/consumers/s/terms-and-conditions-us?language=en_US
10,Ubisoft,https://legal.ubi.com/termsofuse/en-INTL
11,Sleepcycle,https://www.sleepcycle.com/terms-of-use/
12,Spotify,https://www.spotify.com/ie/legal/end-user-agreement/
13,Tidal,https://tidal.com/terms
14,Flipkart,https://affiliate.flipkart.com/terms-of-use
15,Instagram,https://help.instagram.com/581066165581870/
